category,amount,hour,is_weekend,requires_review
Office Supplies,4130.91,23,1,1
Utilities,2814.27,19,0,0
Utilities,25733.76,16,0,1
Hosting & Software,6393.66,18,0,0
Food & Meals,870.62,16,0,0
Hosting & Software,7664.81,10,0,0
Hosting & Software,9071.0,16,0,0
Food & Meals,868.31,17,1,0
Office Supplies,1470.87,14,0,0
Food & Meals,538.3,9,0,0
Utilities,2288.12,9,0,0
Hosting & Software,7330.23,16,0,0
Office Supplies,1842.56,17,0,0
Hosting & Software,8321.14,16,0,0
Contractors,18771.31,12,0,0
Hosting & Software,8259.77,17,0,0
Travel & Commute,677.06,10,0,0
Office Supplies,1146.46,11,0,0
Contractors,25768.63,13,0,0
Food & Meals,764.55,12,0,0
Travel & Commute,371.41,18,0,0
Travel & Commute,671.56,13,0,0
Food & Meals,890.2,17,0,0
Office Supplies,1933.22,13,0,0
Utilities,4343.04,16,0,0
Food & Meals,405.58,14,0,0
Utilities,2749.74,14,0,0
Contractors,27575.18,15,0,0
Food & Meals,1657.1,4,1,1
Food & Meals,878.45,19,0,0
Food & Meals,878.76,11,0,0
Utilities,6582.19,10,0,0
Food & Meals,2653.78,4,1,1
Contractors,27854.45,10,0,0
Hosting & Software,9703.35,15,0,0
Hosting & Software,9431.0,17,0,0
Hosting & Software,8977.09,16,0,0
Office Supplies,1373.89,12,0,0
Hosting & Software,9138.45,10,0,0
Office Supplies,1190.87,10,0,0
Contractors,23815.91,9,1,0
Office Supplies,1305.85,14,0,0
Travel & Commute,616.37,18,0,0
Travel & Commute,1062.93,10,0,0
Food & Meals,283.18,12,0,0
Utilities,4049.01,16,0,0
Food & Meals,346.82,9,0,0
Food & Meals,632.02,19,0,0
Office Supplies,1935.58,14,0,0
Hosting & Software,8096.42,15,0,0
Food & Meals,480.56,12,0,0
Food & Meals,571.17,15,0,0
Utilities,4043.68,13,1,0
Contractors,21348.17,9,0,0
Contractors,26082.29,9,0,0
Contractors,25227.86,13,0,0
Travel & Commute,469.68,14,0,0
Travel & Commute,1028.79,19,0,0
Contractors,28169.6,11,0,0
Contractors,14874.29,13,0,0
Office Supplies,1574.58,11,1,0
Hosting & Software,7007.32,15,0,0
Travel & Commute,770.49,14,0,0
Hosting & Software,6811.22,13,0,0
Food & Meals,721.32,13,0,0
Hosting & Software,8757.48,16,0,0
Travel & Commute,773.15,12,0,0
Contractors,18998.52,15,0,0
Utilities,3232.4,15,1,0
Utilities,3120.04,14,0,0
Contractors,21733.35,15,0,0
Hosting & Software,10648.18,12,0,0
Utilities,3823.99,17,0,0
Utilities,2491.29,10,0,0
Food & Meals,979.47,13,0,0
Office Supplies,2348.86,9,0,0
Food & Meals,1008.12,12,0,0
Travel & Commute,296.13,14,0,0
Contractors,22578.83,17,0,0
Contractors,31334.56,15,0,0
Food & Meals,573.08,13,1,0
Hosting & Software,8665.73,16,0,0
Hosting & Software,16408.02,3,1,1
Office Supplies,1809.85,12,0,0
Food & Meals,6156.39,18,0,1
Office Supplies,6163.38,4,0,1
Office Supplies,1129.23,17,0,0
Travel & Commute,588.09,12,0,0
Travel & Commute,100.0,18,1,0
Travel & Commute,395.12,17,0,0
Travel & Commute,549.49,9,0,0
Hosting & Software,6128.33,12,0,0
Office Supplies,2152.96,9,0,0
Food & Meals,392.46,10,0,0
Hosting & Software,7339.93,10,0,0
Travel & Commute,626.15,9,0,0
Contractors,32206.37,16,0,0
Office Supplies,8427.37,13,0,1
Food & Meals,391.03,16,1,0
Office Supplies,1965.27,11,1,0
Hosting & Software,8015.35,18,0,0
Hosting & Software,6527.74,18,0,0
Food & Meals,865.53,15,1,0
Contractors,25995.3,19,0,0
Utilities,3019.83,12,0,0
Travel & Commute,613.96,16,0,0
Contractors,107032.72,8,1,1
Travel & Commute,522.94,16,1,0
Office Supplies,13084.42,14,0,1
Travel & Commute,622.7,18,0,0
Utilities,4029.7,10,0,0
Contractors,32930.08,15,0,0
Contractors,125025.63,11,0,1
Utilities,2509.75,11,0,0
Travel & Commute,1026.61,14,0,0
Hosting & Software,5071.87,13,0,0
Food & Meals,712.05,18,0,0
Contractors,27941.59,18,0,0
Contractors,26404.96,11,0,0
Hosting & Software,7065.95,14,1,0
Travel & Commute,558.38,15,1,0
Contractors,22535.0,9,1,0
Utilities,3028.51,15,0,0
Travel & Commute,769.92,14,0,0
Utilities,3785.61,9,0,0
Utilities,22261.8,15,0,1
Food & Meals,576.77,15,0,0
Utilities,4219.68,15,0,0
Contractors,26536.5,16,0,0
Hosting & Software,47688.91,1,0,1
Travel & Commute,762.57,12,0,0
Hosting & Software,8944.44,10,1,0
Contractors,20855.02,11,0,0
Contractors,22199.09,17,0,0
Hosting & Software,12507.63,1,1,1
Food & Meals,936.82,14,0,0
Utilities,3988.3,19,0,0
Office Supplies,1491.64,14,0,0
Utilities,3593.86,14,1,0
Office Supplies,2011.07,18,0,0
Office Supplies,1263.37,13,0,0
Travel & Commute,709.42,11,1,0
Contractors,23989.04,17,0,0
Hosting & Software,7673.48,19,0,0
Travel & Commute,819.76,13,0,0
Utilities,4160.33,19,1,0
Contractors,29067.55,18,0,0
Food & Meals,1076.37,18,0,0
Utilities,3516.8,19,0,0
Food & Meals,3808.85,8,0,1
Hosting & Software,9022.93,13,0,0
Office Supplies,5537.74,2,1,1
Food & Meals,672.43,9,0,0
Utilities,3759.33,14,0,0
Utilities,3395.89,9,0,0
Hosting & Software,8145.49,10,0,0
Travel & Commute,1293.98,4,1,1
Utilities,3976.13,11,0,0
Hosting & Software,6772.67,14,0,0
Office Supplies,2336.95,19,0,0
Hosting & Software,16638.77,3,1,1
Contractors,19969.91,18,0,0
Hosting & Software,13697.14,3,1,1
Hosting & Software,6178.72,19,0,0
Utilities,4426.49,10,0,0
Food & Meals,947.92,14,0,0
Contractors,28120.6,19,0,0
Office Supplies,1751.34,15,0,0
Office Supplies,1495.1,11,0,0
Hosting & Software,6654.12,16,0,0
Travel & Commute,615.16,13,0,0
Office Supplies,1229.14,17,0,0
Utilities,19918.44,19,0,1
Utilities,4280.1,11,0,0
Contractors,24264.71,11,0,0
Office Supplies,1169.8,19,0,0
Food & Meals,669.65,16,0,0
Travel & Commute,682.59,16,0,0
Travel & Commute,487.26,18,0,0
Food & Meals,544.44,15,0,0
Food & Meals,810.92,12,0,0
Travel & Commute,648.99,9,0,0
Hosting & Software,7239.59,10,0,0
Utilities,3123.17,13,1,0
Travel & Commute,646.41,17,0,0
Food & Meals,6812.64,14,0,1
Office Supplies,920.77,15,0,0
Travel & Commute,318.51,10,0,0
Office Supplies,1212.62,10,0,0
Contractors,23932.76,11,0,0
Hosting & Software,8466.36,16,0,0
Travel & Commute,895.07,16,0,0
Office Supplies,1843.06,9,0,0
Travel & Commute,568.01,18,0,0
Office Supplies,1492.39,12,0,0
Office Supplies,1098.99,19,0,0
Food & Meals,3743.89,0,0,1
Contractors,24907.43,15,1,0
Hosting & Software,7567.01,15,0,0
Contractors,91729.96,16,0,1
Food & Meals,830.68,9,0,0
Hosting & Software,6759.15,9,0,0
Office Supplies,1707.74,19,0,0
Utilities,4726.19,14,0,0
Hosting & Software,7836.86,19,0,0
Contractors,27008.56,16,0,0
Travel & Commute,2155.48,6,0,1
Travel & Commute,738.03,14,0,0
Utilities,3179.02,17,0,0
Office Supplies,1589.64,12,0,0
Office Supplies,1505.04,14,0,0
Hosting & Software,8146.51,15,0,0
Food & Meals,556.75,11,0,0
Food & Meals,756.13,17,0,0
Office Supplies,1699.2,10,0,0
Travel & Commute,890.23,14,0,0
Hosting & Software,9438.91,13,0,0
Contractors,35765.91,16,0,0
Office Supplies,1193.06,14,0,0
Food & Meals,968.08,9,1,0
Contractors,25916.71,17,0,0
Contractors,35949.01,9,0,0
Utilities,2853.36,16,1,0
Office Supplies,1164.11,19,0,0
Food & Meals,600.15,9,0,0
Contractors,14380.52,14,0,0
Office Supplies,1289.7,17,0,0
Hosting & Software,6861.3,12,0,0
Office Supplies,1560.16,16,0,0
Utilities,3773.4,13,0,0
Travel & Commute,975.23,13,0,0
Food & Meals,987.61,11,0,0
Food & Meals,605.77,16,0,0
Contractors,20507.93,14,0,0
Contractors,48388.59,3,1,1
Travel & Commute,698.38,19,0,0
Hosting & Software,6019.65,10,0,0
Travel & Commute,966.29,16,1,0
Utilities,4443.55,16,0,0
Utilities,3124.66,10,1,0
Food & Meals,321.72,16,0,0
Food & Meals,1088.47,10,0,0
Hosting & Software,7828.19,16,0,0
Utilities,4490.25,17,0,0
Travel & Commute,281.11,11,0,0
Office Supplies,1260.25,17,0,0
Travel & Commute,601.05,12,0,0
Utilities,3537.58,10,0,0
Contractors,22749.67,13,0,0
Hosting & Software,8934.27,10,0,0
Travel & Commute,386.48,18,0,0
Contractors,24288.1,18,0,0
Utilities,18921.4,18,0,1
Hosting & Software,8180.44,18,0,0
Contractors,57959.16,3,1,1
Food & Meals,878.61,19,0,0
Food & Meals,4342.8,15,0,1
Food & Meals,927.9,14,0,0
Hosting & Software,6313.04,14,0,0
Hosting & Software,5698.83,11,0,0
Utilities,4522.14,14,0,0
Office Supplies,1632.93,12,0,0
Office Supplies,1200.61,15,0,0
Food & Meals,1137.79,11,0,0
Utilities,3592.54,12,0,0
Food & Meals,1044.82,16,0,0
Hosting & Software,8101.28,10,0,0
Utilities,5148.6,12,0,0
Hosting & Software,37897.88,20,1,1
Hosting & Software,10633.01,10,0,0
Hosting & Software,7626.55,15,0,0
Food & Meals,1343.99,23,1,1
Hosting & Software,17404.25,23,1,1
Hosting & Software,9457.36,18,0,0
Office Supplies,1758.15,10,0,0
Hosting & Software,10052.95,14,0,0
Travel & Commute,407.02,15,0,0
Office Supplies,2999.34,4,1,1
Utilities,4048.84,18,0,0
Travel & Commute,811.68,18,0,0
Food & Meals,310.32,13,0,0
Utilities,2553.39,17,0,0
Utilities,1868.61,9,0,0
Contractors,23652.97,15,0,0
Contractors,28587.71,19,1,0
Food & Meals,1125.59,19,0,0
Utilities,3559.28,9,0,0
Travel & Commute,925.72,18,0,0
Food & Meals,404.97,19,0,0
Utilities,2137.29,10,0,0
Food & Meals,736.11,11,0,0
Travel & Commute,676.81,18,0,0
Contractors,24836.53,11,0,0
Utilities,1846.05,19,0,0
Food & Meals,727.72,11,0,0
Utilities,2456.42,14,0,0
Contractors,28348.36,13,0,0
Travel & Commute,673.32,13,0,0
Travel & Commute,412.02,13,0,0
Contractors,22430.67,16,0,0
Hosting & Software,6411.18,13,0,0
Utilities,3449.86,15,0,0
Food & Meals,988.79,11,0,0
Hosting & Software,6521.41,10,0,0
Food & Meals,876.01,16,0,0
Utilities,3075.79,17,0,0
Travel & Commute,441.43,18,0,0
Office Supplies,1457.19,17,0,0
Travel & Commute,2595.44,15,0,1
Contractors,19823.79,9,0,0
Travel & Commute,489.27,16,0,0
Travel & Commute,360.42,13,0,0
Contractors,206537.34,12,0,1
Utilities,5071.78,9,0,0
Travel & Commute,607.05,11,0,0
Office Supplies,1220.11,15,0,0
Travel & Commute,642.8,13,0,0
Office Supplies,1455.07,18,0,0
Hosting & Software,7668.55,19,0,0
Food & Meals,903.54,11,0,0
Food & Meals,939.38,10,0,0
Contractors,22347.49,13,0,0
Office Supplies,1269.67,13,0,0
Travel & Commute,544.99,19,0,0
Food & Meals,174.52,10,0,0
Office Supplies,893.92,11,0,0
Travel & Commute,2453.28,8,1,1
Hosting & Software,10050.31,18,1,0
Contractors,33224.84,12,1,0
Office Supplies,1400.39,11,0,0
Utilities,3961.25,13,0,0
Contractors,26556.25,13,0,0
Travel & Commute,1215.78,11,0,0
Food & Meals,1029.89,18,0,0
Contractors,24360.41,16,0,0
Contractors,20222.3,12,0,0
Utilities,2214.84,10,0,0
Utilities,3662.77,10,0,0
Office Supplies,4281.5,2,1,1
Utilities,2894.92,11,0,0
Utilities,2362.2,19,0,0
Utilities,2982.74,17,0,0
Office Supplies,1067.38,17,0,0
Utilities,18136.72,9,0,1
Food & Meals,1171.79,9,0,0
Utilities,15264.63,2,0,1
Office Supplies,1852.66,16,1,0
Food & Meals,748.01,11,0,0
Contractors,32399.72,15,0,0
Food & Meals,769.34,15,0,0
Contractors,20693.58,17,0,0
Hosting & Software,10284.69,17,0,0
Travel & Commute,707.78,12,0,0
Office Supplies,1085.1,16,0,0
Utilities,3347.73,15,0,0
Travel & Commute,424.88,11,0,0
Contractors,18086.0,9,0,0
Food & Meals,981.54,9,0,0
Office Supplies,2263.77,9,0,0
Contractors,18007.16,9,0,0
Office Supplies,1725.19,12,0,0
Office Supplies,1239.74,13,0,0
Contractors,22564.37,18,0,0
Contractors,22038.03,12,0,0
Travel & Commute,427.2,17,0,0
Hosting & Software,8072.78,17,0,0
Contractors,20845.25,19,0,0
Utilities,3716.37,14,0,0
Contractors,24748.81,17,0,0
Food & Meals,690.26,13,0,0
Utilities,2773.95,12,0,0
Contractors,22116.14,16,0,0
Utilities,4104.31,15,0,0
Travel & Commute,700.18,13,0,0
Contractors,140445.84,2,0,1
Office Supplies,1108.98,19,0,0
Office Supplies,1539.73,12,0,0
Utilities,4101.11,17,0,0
Travel & Commute,266.12,14,0,0
Office Supplies,1717.34,12,0,0
Office Supplies,1234.95,16,0,0
Contractors,27852.99,12,0,0
Travel & Commute,447.35,13,0,0
Utilities,2056.09,13,0,0
Utilities,2197.97,16,1,0
Contractors,25240.42,14,0,0
Hosting & Software,8389.58,9,0,0
Travel & Commute,419.14,9,0,0
Utilities,4010.87,15,0,0
Travel & Commute,267.7,15,0,0
Travel & Commute,586.78,19,0,0
Hosting & Software,6183.48,16,0,0
Contractors,21740.82,16,0,0
Hosting & Software,8071.1,17,0,0
Utilities,2811.67,9,0,0
Office Supplies,1346.18,19,1,0
Office Supplies,1902.52,19,0,0
Contractors,22115.54,12,0,0
Hosting & Software,20001.06,23,1,1
Food & Meals,958.92,9,1,0
Utilities,2596.23,9,0,0
Hosting & Software,8794.71,13,1,0
Contractors,32207.84,11,0,0
Office Supplies,511.34,12,0,0
Utilities,2862.48,14,0,0
Food & Meals,3485.62,7,0,1
Hosting & Software,8865.61,10,0,0
Contractors,23984.77,10,0,0
Food & Meals,842.79,9,0,0
Contractors,21980.07,16,0,0
Contractors,25432.95,18,0,0
Office Supplies,1437.73,9,0,0
Contractors,30838.91,16,0,0
Office Supplies,1601.77,13,0,0
Utilities,3770.08,11,0,0
Hosting & Software,63481.44,15,0,1
Office Supplies,1335.25,18,0,0
Food & Meals,628.1,17,0,0
Contractors,22837.21,10,0,0
Hosting & Software,32642.88,2,1,1
Utilities,3815.56,18,0,0
Hosting & Software,43670.96,14,1,1
Travel & Commute,515.8,15,0,0
Contractors,26448.87,15,1,0
Utilities,5160.32,12,0,0
Office Supplies,1848.45,15,0,0
Contractors,23369.88,15,0,0
Office Supplies,6917.76,8,0,1
Travel & Commute,2773.27,17,1,1
Office Supplies,7328.32,19,1,1
Food & Meals,3352.12,2,0,1
Utilities,4460.97,19,0,0
Travel & Commute,518.38,13,0,0
Office Supplies,684.75,13,0,0
Food & Meals,497.98,14,0,0
Travel & Commute,225.84,16,0,0
Travel & Commute,529.7,11,0,0
Food & Meals,754.6,18,0,0
Hosting & Software,10514.66,15,0,0
Contractors,26634.64,11,0,0
Utilities,3324.72,12,0,0
Travel & Commute,765.88,14,0,0
Contractors,13944.32,18,0,0
Hosting & Software,8353.42,15,0,0
Utilities,4116.69,17,0,0
Utilities,7673.52,2,1,1
Food & Meals,380.35,10,0,0
Food & Meals,1035.94,11,0,0
Travel & Commute,667.7,11,0,0
Food & Meals,1664.14,4,1,1
Utilities,3167.77,15,0,0
Hosting & Software,8949.17,17,0,0
Office Supplies,2408.28,12,0,0
Hosting & Software,8272.8,18,1,0
Contractors,26241.1,15,0,0
Hosting & Software,7310.96,15,0,0
Office Supplies,1160.06,17,0,0
Utilities,4164.27,18,0,0
Hosting & Software,6715.87,19,0,0
Utilities,3557.25,9,0,0
Hosting & Software,7283.51,10,0,0
Contractors,27394.9,13,0,0
Travel & Commute,666.73,14,0,0
Food & Meals,1009.38,16,0,0
Hosting & Software,13381.02,3,1,1
Contractors,22449.92,11,0,0
Contractors,23650.63,11,0,0
Hosting & Software,6531.85,16,0,0
Food & Meals,638.93,11,0,0
Food & Meals,844.33,18,0,0
Food & Meals,939.25,15,1,0
Travel & Commute,415.57,10,0,0
Utilities,4195.68,14,0,0
Office Supplies,2042.26,16,0,0
Contractors,27067.17,15,0,0
Utilities,5001.44,14,0,0
Utilities,2880.97,19,0,0
Hosting & Software,6133.02,18,1,0
Travel & Commute,244.26,12,0,0
Travel & Commute,899.21,11,0,0
Food & Meals,913.59,18,0,0
Travel & Commute,588.88,17,0,0
Contractors,26399.84,11,0,0
Food & Meals,468.63,11,0,0
Food & Meals,1361.44,14,0,0
Food & Meals,782.31,15,0,0
Utilities,3587.52,15,0,0
Food & Meals,931.44,16,0,0
Office Supplies,1692.4,12,0,0
Hosting & Software,8335.83,13,0,0
Food & Meals,552.38,16,0,0
Office Supplies,1688.59,13,0,0
Hosting & Software,10823.04,9,0,0
Food & Meals,1086.36,15,0,0
Contractors,32965.93,13,0,0
Office Supplies,1295.51,14,0,0
Office Supplies,1104.16,10,0,0
Travel & Commute,574.84,18,0,0
Contractors,25278.62,15,0,0
Travel & Commute,818.84,12,0,0
Utilities,2146.03,13,0,0
Travel & Commute,905.91,13,0,0
Hosting & Software,7762.99,17,0,0
Contractors,22865.59,11,0,0
Food & Meals,496.97,13,0,0
Travel & Commute,269.03,11,0,0
Contractors,29115.85,12,0,0
Contractors,25366.59,11,0,0
Hosting & Software,6065.06,15,0,0
Contractors,18524.61,10,0,0
Contractors,23321.08,14,0,0
Food & Meals,1167.26,9,0,0
Contractors,127177.53,22,1,1
Office Supplies,1396.16,15,0,0
Food & Meals,374.21,16,0,0
Hosting & Software,7631.39,18,0,0
Food & Meals,681.82,19,0,0
Office Supplies,5311.06,5,1,1
Food & Meals,3004.35,22,0,1
Contractors,11515.57,13,1,0
Hosting & Software,7918.56,14,0,0
Contractors,23845.33,15,0,0
Contractors,28481.03,12,0,0
Office Supplies,2239.58,9,0,0
Office Supplies,1950.63,12,0,0
Food & Meals,1511.52,1,1,1
Food & Meals,682.78,16,1,0
Food & Meals,4137.01,14,0,1
Hosting & Software,6340.21,11,0,0
Contractors,37866.8,17,0,0
Utilities,3547.37,16,0,0
Travel & Commute,602.79,11,0,0
Utilities,3480.7,12,1,0
Office Supplies,1579.23,10,0,0
Food & Meals,713.91,15,0,0
Travel & Commute,485.27,19,1,0
Utilities,3062.51,18,0,0
Contractors,70343.52,2,1,1
Utilities,3473.8,12,0,0
Hosting & Software,7184.86,12,0,0
Office Supplies,1214.86,19,0,0
Utilities,3585.14,9,0,0
Hosting & Software,7617.53,18,0,0
Utilities,4703.19,16,0,0
Office Supplies,7603.45,12,0,1
Office Supplies,439.61,15,0,0
Contractors,30457.53,15,0,0
Food & Meals,1729.86,2,1,1
Hosting & Software,60452.19,12,0,1
Travel & Commute,849.22,15,0,0
Contractors,14633.05,10,0,0
Food & Meals,664.33,12,1,0
Office Supplies,1351.42,10,0,0
Utilities,9143.89,2,1,1
Office Supplies,12761.25,11,0,1
Food & Meals,398.12,17,0,0
Contractors,21110.92,14,0,0
Hosting & Software,6334.14,10,0,0
Office Supplies,2200.91,15,0,0
Office Supplies,1874.27,18,0,0
Food & Meals,1067.89,14,1,0
Utilities,4077.34,11,0,0
Office Supplies,1048.38,19,0,0
Travel & Commute,495.1,9,1,0
Office Supplies,1695.75,16,0,0
Travel & Commute,355.57,9,0,0
Contractors,28564.99,15,0,0
Travel & Commute,551.93,14,0,0
Office Supplies,1350.07,10,0,0
Office Supplies,1784.38,17,0,0
Food & Meals,4248.81,9,1,1
Office Supplies,1677.71,9,0,0
Hosting & Software,7458.55,13,0,0
Travel & Commute,831.87,18,0,0
Travel & Commute,383.79,17,0,0
Travel & Commute,723.19,15,1,0
Utilities,3974.48,9,0,0
Office Supplies,1376.18,15,0,0
Contractors,26630.67,12,0,0
Travel & Commute,349.78,9,0,0
Travel & Commute,784.81,10,1,0
Travel & Commute,563.02,17,0,0
Hosting & Software,7215.92,10,0,0
Utilities,4339.21,15,1,0
Utilities,10312.15,2,1,1
Hosting & Software,6943.48,14,0,0
Food & Meals,397.88,14,0,0
Hosting & Software,5665.06,12,0,0
Utilities,3984.81,10,0,0
Food & Meals,429.89,10,0,0
Travel & Commute,950.96,16,0,0
Office Supplies,2934.48,23,1,1
Office Supplies,667.23,14,0,0
Contractors,33482.28,14,0,0
Office Supplies,1584.41,13,0,0
Travel & Commute,3381.9,17,0,1
Office Supplies,1461.31,11,0,0
Office Supplies,1282.03,12,0,0
